,teaching,international,research,citations,income,scores,clusters,cluster
1803,95.6,64.0,97.6,99.8,97.8,95.2,1,pink
1804,86.5,94.4,98.9,98.8,73.1,94.2,1,pink
1805,92.5,76.3,96.2,99.9,63.3,93.9,1,pink
1806,88.2,91.5,96.7,97.0,55.0,92.8,1,pink
1807,89.4,84.0,88.6,99.7,95.4,92.0,1,pink
1808,83.6,77.2,99.0,99.8,45.2,91.6,1,pink
1809,85.1,78.5,91.9,99.3,52.1,90.1,1,pink
1810,83.3,96.0,88.5,96.7,53.7,89.1,1,pink
1811,77.0,97.9,95.0,91.1,80.0,88.3,1,pink
1812,85.7,65.0,88.9,99.2,36.6,87.9,1,pink
1813,77.6,70.0,90.4,98.2,100.0,87.6,1,pink
1814,86.5,64.3,87.8,97.2,43.3,87.4,1,pink
1815,80.4,61.9,91.1,99.7,47.9,87.2,1,pink
1816,78.1,94.4,91.0,94.2,40.5,87.1,1,pink
1818,80.8,56.4,88.6,98.5,47.9,85.8,1,pink
1819,82.0,49.5,86.9,98.6,47.9,85.2,1,pink
1820,77.9,63.9,86.1,97.2,33.7,84.0,1,pink
1821,75.9,77.8,89.3,90.9,49.1,83.9,1,pink
1822,76.0,56.5,78.0,99.0,100.0,82.7,1,pink
